Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Daily);Environment:Site Outdoor Air Relative Humidity [%](Daily);BEZERREIRO:Zone Operative Temperature [C](Daily);CIRCULA:Zone Operative Temperature [C](Daily);BEZERREIRO:Zone Air Relative Humidity [%](Daily);CIRCULA:Zone Air Relative Humidity [%](Daily) 
 06/07;15,532291666666664;88,77604166666667;16,383516964065917;16,04994708942961;90,6607204880293;89,64043213618514 
 06/08;13,183854166666665;98,26041666666667;16,532092880002215;16,246030757614397;90,21412116062546;88,93020121797588 
 06/09;11,649999999999999;91,09895833333333;15,643880898134669;15,277267221028401;95,2305638865546;95,19433387198342 
 06/10;13,279166666666664;76,32291666666667;15,662342592935885;15,251402985727522;93,43422677125114;93,76194906028347 
 06/11;16,72864583333333;79,67708333333333;15,632551538464254;15,244608156432669;92,47465695523852;92,62650502107674 
 06/12;18,71614583333334;81,375;16,126973441687825;15,80416156702507;89,17581633947947;88,95721775413891 
 06/13;16,2328125;83,16145833333333;16,645743983891305;16,44104661674628;86,57562477969971;85,70436793771445 
 06/14;12,828645833333335;72,32291666666667;15,994694575776931;15,782643227984503;91,0177474628792;90,15029941822077 
 06/15;14,322916666666666;54,963541666666667;14,88484589411293;14,666685371407367;97,14167961932356;96,61758821093889 
 06/16;16,495833333333335;74,58333333333333;15,282234733991614;15,079804320634138;92,44714976940095;92,48483534227911 
 06/17;12,6390625;81,42708333333333;15,3910283596542;15,197933195344099;91,51333944177992;91,61298210798687 
 06/18;9,824999999999998;83,58333333333333;14,706862440849508;14,451170432575465;96,0977675337795;96,55748083784101 
 06/19;8,1859375;94,28125;13,730731651325265;13,376245515460547;96,85815484376872;97,23787024521249 
 06/20;9,226041666666666;82,42708333333333;13,812320925247868;13,365444811135952;94,44511606565009;94,87177828765413 
 06/21;10,788541666666668;81,21875;14,057616816636;13,589474820636445;92,1598498639118;92,46972334297208 
 06/22;13,929166666666668;82,77604166666667;14,866133923664484;14,418237952383733;86,95174316485005;87,0798412226623 
 06/23;16,818229166666666;92,33854166666667;15,685547521702768;15,300408311465697;82,25993173820194;82,05333568231345 
 06/24;16,15572916666667;90,55729166666667;16,364469155160699;16,074305558912469;78,68294809469399;78,01252846546949 
 06/25;14,670833333333335;89,875;16,43370982861673;16,18546396956125;78,20382100912907;77,32913000510847 
 06/26;15,064583333333334;95,80729166666667;16,6696210880863;16,428534583897453;77,16596965759344;76,26062495021715 
 06/27;15,741145833333335;96,17708333333333;17,07323345250924;16,798684610152305;75,53652662360996;74,80012582578223 
 06/28;15,711458333333335;98,81770833333333;17,437950076639536;17,17646985118046;73,9877605765093;73,20515969665589 
 06/29;15,749999999999995;99,0;17,80316052263766;17,537917838446054;71,39539131357826;70,64988581904594 
 06/30;14,744791666666665;97,4375;17,772830903116163;17,50259897654087;71,49469453729879;70,76916594851103 
 07/01;13,0171875;89,24479166666667;17,154047948012246;16,83879175401361;74,83248702914428;74,28484628129651 
 07/02;13,020312499999998;98,90104166666667;16,438778353704469;16,083947001280476;78,45179171566153;78,07723002000486 
 07/03;15,401562500000005;95,890625;16,694876101386574;16,31864958388869;77,07306226430223;76,80274226832965 
 07/04;17,548958333333336;94,81770833333333;16,97691492534059;16,645553039911616;75,62738165217844;75,16557525176397 
 07/05;19,480729166666668;90,34895833333333;17,886982594034149;17,610631991211144;71,18772614057527;70,511978462755 
 07/06;15,0609375;87,73958333333333;18,107659699961933;17,915072661647419;70,45529431562402;69,40423198574676 
